headline_metric,languages,mode,task,macro_accuracy,macro_exact_match,macro_f1,macro_macro_f1,macro_macro_precision,macro_macro_recall,macro_micro_f1,macro_weighted_f1,micro_accuracy,micro_exact_match,micro_f1,micro_macro_f1,micro_macro_precision,micro_macro_recall,micro_micro_f1,micro_weighted_f1
macro_f1,22,fine-tune,ner,0.967,,,0.7986,,,,0.9671,0.9692,,,0.8092,,,,0.9693
f1,2,fine-tune,qa,,17.5114,29.4507,,,,,,,17.5114,29.4507,,,,,
macro_f1,12,fine-tune,sentiment,0.5834,,,0.476,0.5017,0.5173,,0.5456,0.6173,,,0.5507,0.5778,0.5781,,0.6034
macro_f1,2,zero-shot,sentiment,0.3885,,,0.274,0.5098,0.3949,0.3885,0.2955,0.3895,,,0.2724,0.507,0.3935,0.3895,0.2948
